company_name,high,low,last_price,prev_close,change,percent_gain
Raymond,717.95,627.45,709.40,624.35,85.05,13.62
Alembic Pharma,"1,107.90",988.90,"1,039.10",968.90,70.2,7.25
Deepak Fert,"1,725.00","1,596.80","1,707.40","1,594.10",113.3,7.11
Raymond Life,"1,411.90","1,209.50","1,309.00","1,222.30",86.7,7.09
Waaree Energies,"3,154.00","2,972.10","3,139.40","2,947.50",191.9,6.51
City Union Bank,221.00,205.10,218.71,205.81,12.9,6.27
AAVAS Financier,"2,152.90","1,994.60","2,092.50","1,986.20",106.3,5.35
Endurance Techn,"2,790.00","2,645.60","2,770.10","2,632.40",137.7,5.23
SBFC Finance,114.00,105.62,112.13,106.59,5.54,5.2
Bank of Mah,57.35,54.60,57.11,54.30,2.81,5.17
EID Parry,"1,127.95","1,050.65","1,110.00","1,056.50",53.5,5.06
Chola Fin Hold,"2,198.70","2,072.30","2,166.00","2,062.00",104,5.04
ITI,336.65,321.85,336.65,320.65,16,4.99
Schneider Infra,832.40,799.00,832.40,792.80,39.6,4.99
New India Assur,193.70,184.15,192.48,183.69,8.79,4.79
Natco Pharma,932.50,891.90,926.65,884.45,42.2,4.77
ABSL AMC,815.00,763.95,799.85,763.95,35.9,4.7
Alkyl Amines,"2,379.00","2,254.00","2,368.00","2,261.90",106.1,4.69
Wockhardt,"1,749.00","1,636.00","1,714.00","1,640.20",73.8,4.5
DCM Shriram,"1,253.00","1,185.00","1,232.80","1,180.70",52.1,4.41
Ipca Labs,"1,397.00","1,331.70","1,389.80","1,331.70",58.1,4.36
Timken,"3,524.70","3,361.50","3,498.30","3,353.20",145.1,4.33
SKF India,"4,864.50","4,634.20","4,815.80","4,623.80",192,4.15
Karur Vysya,268.80,259.00,267.54,256.91,10.63,4.14
Anand Rathi,"2,185.00","2,070.30","2,159.70","2,076.20",83.5,4.02
Sundram,"1,059.00","1,008.50","1,038.20",998.80,39.4,3.94
PNB,110.65,106.70,110.50,106.34,4.16,3.91
