company_name,high,low,last_price,prev_close,change,percent_gain
Larsen,"3,449.95","3,412.00","3,439.20","3,413.90",25.30,0.74
Akums Drugs & P,565.65,551.15,558.80,554.75,4.05,0.73
IOC,124.39,122.90,123.44,122.58,0.86,0.7
G R Infra,"1,277.85","1,255.65","1,258.10","1,249.45",8.65,0.69
Pidilite Ind,"2,887.35","2,850.30","2,884.00","2,864.10",19.90,0.69
Gujarat Gas,479.50,464.40,469.75,466.60,3.15,0.68
Mankind Pharma,"2,482.40","2,425.55","2,473.20","2,456.70",16.50,0.67
Hind Zinc,444.95,430.00,436.00,433.20,2.80,0.65
Nestle,"2,171.55","2,131.25","2,170.20","2,156.30",13.90,0.64
Nestle,"2,171.55","2,131.25","2,170.20","2,156.30",13.90,0.64
Varroc Engineer,564.50,551.15,556.75,553.25,3.50,0.63
GMR Airports,73.71,70.88,71.49,71.06,0.43,0.61
Oil India,406.00,392.10,399.30,397.05,2.25,0.57
Motherson SWI,54.90,53.50,54.15,53.86,0.29,0.54
Varun Beverages,545.50,537.05,542.15,539.35,2.80,0.52
Varun Beverages,545.50,537.05,542.15,539.35,2.80,0.52
Varun Beverages,545.50,537.05,542.15,539.35,2.80,0.52
Bank of Baroda,224.90,221.07,222.89,221.76,1.13,0.51
Tata Elxsi,"6,221.95","6,094.95","6,156.35","6,125.40",30.95,0.51
UTI AMC,"1,069.80",994.00,"1,057.30","1,052.00",5.30,0.5
Torrent Power,"1,493.80","1,460.00","1,473.35","1,466.15",7.20,0.49
CG Consumer,350.55,343.85,344.45,342.85,1.60,0.47
Welspun Living,149.50,145.67,148.29,147.59,0.70,0.47
Finolex Cables,984.45,967.30,978.60,974.10,4.50,0.46
IDBI Bank,80.04,77.61,78.05,77.69,0.36,0.46
Tata Comm,"1,577.60","1,550.00","1,566.40","1,559.25",7.15,0.46
Elgi Equipments,530.05,521.15,524.95,522.60,2.35,0.45
UNO Minda,914.70,885.55,892.15,888.45,3.70,0.42
TVS Supply,144.33,139.63,139.99,139.42,0.57,0.41
Bank of India,110.71,107.92,109.92,109.51,0.41,0.37
HDFC Bank,"1,681.15","1,668.85","1,676.50","1,670.40",6.10,0.37
Capri Global,178.70,166.62,176.20,175.59,0.61,0.35
Capri Global,178.70,166.62,176.20,175.59,0.61,0.35
Reliance,"1,242.75","1,228.05","1,238.15","1,234.40",3.75,0.3
Atul,"6,287.70","6,172.50","6,250.00","6,232.05",17.95,0.29
ACC,"2,036.95","1,996.15","2,007.00","2,001.20",5.80,0.29
CIEINDIA,461.80,451.20,452.35,451.05,1.30,0.29
Apollo Tyres,429.30,422.55,424.95,423.75,1.20,0.28
ICICI Bank,"1,255.80","1,243.05","1,250.25","1,246.90",3.35,0.27
IDFC First Bank,59.10,57.80,58.42,58.27,0.15,0.26
M&M Financial,275.30,264.00,272.70,272.00,0.70,0.26
Axis Bank,988.65,977.60,986.30,983.80,2.50,0.25
Can Fin Homes,678.00,658.80,664.55,662.95,1.60,0.24
Adani Green Ene,"1,006.35",983.30,989.60,987.30,2.30,0.23
HEG,406.95,399.15,402.05,401.15,0.90,0.22
HEG,406.95,399.15,402.05,401.15,0.90,0.22
Gillette India,"8,759.95","8,514.95","8,700.00","8,681.60",18.40,0.21
Chennai Petro,533.00,522.05,524.40,523.65,0.75,0.14
Avenue Supermar,"3,586.20","3,540.95","3,563.75","3,559.30",4.45,0.13
JB Chemicals,"1,732.95","1,692.00","1,716.70","1,714.45",2.25,0.13
JB Chemicals,"1,732.95","1,692.00","1,716.70","1,714.45",2.25,0.13
Astral Ltd,"1,493.80","1,462.65","1,472.75","1,471.20",1.55,0.11
JK Lakshmi Cem,827.20,808.85,814.20,813.30,0.90,0.11
Ashok Leyland,206.50,203.30,204.85,204.73,0.12,0.06
Bharti Airtel,"1,626.90","1,610.85","1,619.25","1,618.35",0.90,0.06
Amara Raja,"1,070.00","1,021.00","1,029.80","1,029.35",0.45,0.04
Interglobe Avi,"4,308.95","4,230.00","4,283.70","4,282.50",1.20,0.03
Cipla,"1,455.00","1,410.60","1,420.90","1,420.60",0.30,0.02
