company_name,high,low,last_price,prev_close,change,percent_gain
Shriram Finance,550.00,530.25,549.40,530.10,19.30,3.64
Shriram Finance,550.00,530.25,549.40,530.10,19.30,3.64
Welspun Corp,747.80,716.55,743.80,717.70,26.10,3.64
APTUS VALUE,287.95,277.55,287.45,277.40,10.05,3.62
Blue Star,"1,855.50","1,758.00","1,827.00","1,763.20",63.80,3.62
Bharti Hexacom,"1,364.00","1,294.25","1,346.10","1,299.55",46.55,3.58
Jyothy Labs,391.95,377.00,387.60,374.20,13.40,3.58
GNFC,546.00,527.00,542.95,524.25,18.70,3.57
Deepak Nitrite,"2,279.25","2,190.10","2,271.65","2,193.85",77.80,3.55
India Cements,285.85,268.40,277.75,268.25,9.50,3.54
Dr Lal PathLab,"2,786.90","2,677.10","2,776.65","2,681.95",94.70,3.53
Glenmark,"1,451.00","1,402.45","1,448.40","1,399.20",49.20,3.52
Info Edge,"7,417.95","7,155.10","7,399.95","7,148.25",251.70,3.52
Delhivery,322.85,308.05,322.35,311.45,10.90,3.5
Trident,30.10,28.31,29.93,28.92,1.01,3.49
Muthoot Finance,"2,223.45","2,125.10","2,210.00","2,135.90",74.10,3.47
Aarti Ind,428.90,408.55,424.60,410.40,14.20,3.46
Sonata,538.80,508.05,528.85,511.25,17.60,3.44
Honeywell Autom,"40,998.90","39,174.00","40,353.15","39,024.30","1,328.85",3.41
Wipro,314.70,305.05,313.95,303.60,10.35,3.41
IRB Infra,52.55,50.36,51.95,50.24,1.71,3.4
IRB Infra,52.55,50.36,51.95,50.24,1.71,3.4
Godrej Prop,"2,237.95","2,149.10","2,233.25","2,160.95",72.30,3.35
One 97 Paytm,799.85,765.25,795.00,769.20,25.80,3.35
REC,435.90,420.05,433.65,419.65,14.00,3.34
JSW Infra,275.00,261.00,269.90,261.20,8.70,3.33
Timken,"2,830.40","2,734.10","2,820.65","2,730.00",90.65,3.32
ABSL AMC,633.95,609.05,631.90,611.80,20.10,3.29
Balaji Amines,"1,650.00","1,587.35","1,639.50","1,587.25",52.25,3.29
Ircon Internati,200.62,189.21,194.00,187.88,6.12,3.26
Ircon Internati,200.62,189.21,194.00,187.88,6.12,3.26
City Union Bank,173.50,165.91,172.60,167.16,5.44,3.25
Caplin Labs,"1,963.45","1,876.85","1,960.25","1,898.95",61.30,3.23
ICICI Lombard ,"1,834.45","1,757.25","1,831.85","1,774.70",57.15,3.22
Nuvoco Vistas,349.95,333.00,343.85,333.15,10.70,3.21
Vardhman Text,463.55,443.30,457.00,442.85,14.15,3.2
Thermax,"3,765.00","3,620.20","3,748.70","3,632.40",116.30,3.2
L&T Finance,147.37,141.59,146.39,141.87,4.52,3.19
Bharat Elec,267.80,259.00,266.45,258.25,8.20,3.18
CESC,137.58,132.57,136.61,132.40,4.21,3.18
Petronet LNG,301.30,289.00,299.75,290.55,9.20,3.17
Radico Khaitan,"2,212.35","2,107.45","2,178.05","2,111.20",66.85,3.17
Power Finance,403.80,385.75,398.55,386.35,12.20,3.16
R R Kabel,"1,249.00","1,176.45","1,237.10","1,199.40",37.70,3.14
Infosys,"1,887.00","1,840.50","1,886.95","1,829.75",57.20,3.13
Bajaj Auto,"8,807.00","8,420.15","8,660.05","8,398.40",261.65,3.12
MCX India,"5,725.00","5,515.50","5,703.45","5,531.15",172.30,3.12
CRISIL,"5,328.00","5,060.00","5,222.15","5,064.55",157.60,3.11
Piramal Pharma,227.70,205.25,225.35,218.55,6.80,3.11
Tata Tech,779.90,756.10,777.50,754.10,23.40,3.1
Birlasoft,535.95,521.80,535.00,519.05,15.95,3.07
Prestige Estate,"1,311.90","1,261.25","1,310.00","1,271.10",38.90,3.06
Motilal Oswal,671.00,607.20,665.60,646.00,19.60,3.03
Tata Inv Corp,"5,939.00","5,727.00","5,889.05","5,716.45",172.60,3.02
