company_name,high,low,last_price,prev_close,change,percent_gain
Sarda Energy,527.15,497.50,524.25,439.30,84.95,19.34
Sarda Energy,527.15,497.50,524.25,439.30,84.95,19.34
AB Capital,280.95,251.50,278.45,251.45,27,10.74
Transformers,563.00,509.45,558.90,515.05,43.85,8.51
Capri Global,192.50,175.52,190.12,175.36,14.76,8.42
Capri Global,192.50,175.52,190.12,175.36,14.76,8.42
Netweb,"2,340.00","2,141.00","2,304.10","2,135.20",168.9,7.91
eClerx Services,"4,200.00","3,782.10","4,087.30","3,799.20",288.1,7.58
Delhivery,463.95,440.00,461.60,429.85,31.75,7.39
UPL,719.45,672.05,711.70,665.15,46.55,7
Guj Mineral,424.00,383.60,408.55,381.90,26.65,6.98
Endurance Techn,"2,692.00","2,463.00","2,638.80","2,476.60",162.2,6.55
Manappuram Fin,265.00,245.80,264.10,247.90,16.2,6.53
Data Patterns,"2,725.00","2,525.70","2,713.80","2,550.50",163.3,6.4
CDSL,"1,577.90","1,475.50","1,572.40","1,478.80",93.6,6.33
IIFL Finance,451.15,419.75,449.60,427.20,22.4,5.24
Hero Motocorp,"4,550.00","4,310.10","4,535.90","4,311.60",224.3,5.2
JSW Energy,539.90,512.30,537.80,511.65,26.15,5.11
MCX India,"8,060.00","7,757.00","7,977.50","7,595.50",382,5.03
Home First,"1,264.50","1,186.70","1,256.80","1,197.30",59.5,4.97
Brainbees Solu,367.70,347.50,364.85,348.15,16.7,4.8
Welspun Living,127.25,120.20,126.74,121.09,5.65,4.67
SAIL,125.80,120.36,125.48,120.12,5.36,4.46
NLC India,245.20,233.20,244.00,233.94,10.06,4.3
Tata Steel,159.92,153.50,159.56,153.01,6.55,4.28
BHEL,242.20,230.33,241.43,231.60,9.83,4.24
CAMS,"3,820.00","3,632.40","3,798.70","3,644.40",154.3,4.23
Railtel,369.70,357.15,368.45,354.00,14.45,4.08
Solar Ind,"14,430.00","13,750.00","14,366.00","13,807.00",559,4.05
HUDCO,219.90,210.10,218.90,210.43,8.47,4.03
Godawari Power,197.70,188.10,196.40,189.05,7.35,3.89
Godawari Power,197.70,188.10,196.40,189.05,7.35,3.89
CCL Products,936.80,898.55,927.60,894.10,33.5,3.75
Jindal Steel,991.00,948.10,980.20,945.50,34.7,3.67
LIC Housing Fin,594.70,570.25,591.05,570.25,20.8,3.65
BEML,"4,013.00","3,839.10","3,984.70","3,844.90",139.8,3.64
Vodafone Idea,6.88,6.60,6.84,6.60,0.24,3.64
APTUS VALUE,352.00,338.95,350.55,338.50,12.05,3.56
NALCO,187.49,179.93,187.14,180.70,6.44,3.56
Aegis Logistics,747.20,705.25,731.95,707.05,24.9,3.52
ABSL AMC,870.90,827.05,863.75,834.60,29.15,3.49
Chola Invest.,"1,477.00","1,422.80","1,472.10","1,422.50",49.6,3.49
JM Financial,157.99,149.90,157.20,151.92,5.28,3.48
Emcure Pharmace,"1,420.20","1,360.10","1,410.90","1,364.20",46.7,3.42
Tube Investment,"2,956.00","2,775.00","2,903.80","2,808.40",95.4,3.4
NBCC (India),111.18,107.00,110.83,107.26,3.57,3.33
Polycab,"6,938.00","6,683.00","6,919.50","6,698.00",221.5,3.31
Bharat Elec,390.25,376.45,389.55,377.20,12.35,3.27
Pidilite Ind,"2,976.00","2,866.10","2,951.80","2,858.90",92.9,3.25
Network 18,59.79,57.06,59.33,57.47,1.86,3.24
ZFCVINDIA,"13,444.00","12,859.00","13,353.00","12,939.00",414,3.2
Escorts Kubota,"3,500.00","3,250.70","3,394.10","3,289.50",104.6,3.18
Hitachi Energy,"21,300.00","20,300.00","21,200.00","20,550.00",650,3.16
BSE Limited,"2,495.00","2,381.20","2,486.60","2,411.30",75.3,3.12
Jindal Stainles,734.45,706.40,728.05,706.05,22,3.12
Inox India,"1,179.80","1,138.20","1,174.90","1,139.60",35.3,3.1
Adani Ports,"1,397.00","1,345.20","1,388.90","1,347.10",41.8,3.1
Schneider Infra,"1,049.90",972.10,"1,032.00","1,001.30",30.7,3.07
Exide Ind,391.65,376.70,390.80,379.25,11.55,3.05
Mastek,"2,540.00","2,412.50","2,521.20","2,447.10",74.1,3.03
Adani Power,587.70,564.15,584.00,567.00,17,3
Lodha Developer,"1,246.60","1,203.00","1,244.00","1,207.90",36.1,2.99
Hind Copper,245.39,234.30,243.98,236.96,7.02,2.96
TVS Motor,"2,968.00","2,882.60","2,942.50","2,858.20",84.3,2.95
MOTHERSON,98.50,95.06,98.30,95.54,2.76,2.89
Poly Medicure,"2,049.90","1,928.10","2,004.40","1,948.60",55.8,2.86
Tata Inv Corp,"7,165.00","6,745.50","6,976.00","6,782.50",193.5,2.85
Bandhan Bank,168.65,163.10,168.03,163.42,4.61,2.82
Muthoot Finance,"2,670.20","2,548.00","2,665.80","2,592.70",73.1,2.82
Aditya Birla F,76.10,72.68,75.85,73.78,2.07,2.81
Poonawalla Fin,432.50,414.05,431.10,419.35,11.75,2.8
MRPL,127.49,122.84,126.93,123.55,3.38,2.74
Bharat Forge,"1,179.60","1,140.40","1,177.40","1,146.10",31.3,2.73
Indian Bank,638.85,619.05,638.15,621.20,16.95,2.73
JSW Steel,"1,058.90","1,026.40","1,055.90","1,027.80",28.1,2.73
RITES,260.70,250.25,258.90,252.05,6.85,2.72
Chambal Fert,536.00,512.00,532.15,518.30,13.85,2.67
Intellect Desig,"1,013.80",971.10,"1,007.90",981.90,26,2.65
Himadri Special,479.00,458.60,474.85,462.75,12.1,2.61
IndusInd Bank,805.60,781.00,804.05,783.70,20.35,2.6
IDFC First Bank,69.46,67.30,69.33,67.58,1.75,2.59
Bank of Baroda,241.90,235.16,241.17,235.13,6.04,2.57
Craftsman,"6,650.00","6,405.50","6,628.00","6,465.00",163,2.52
Tech Mahindra,"1,477.00","1,419.10","1,475.00","1,438.80",36.2,2.52
Blue Star,"1,750.00","1,691.00","1,739.40","1,697.00",42.4,2.5
Jindal Saw,211.32,203.59,210.52,205.40,5.12,2.49
Jindal Saw,211.32,203.59,210.52,205.40,5.12,2.49
Zee Entertain,121.68,115.85,119.20,116.32,2.88,2.48
SignatureGlobal,"1,161.00","1,117.50","1,159.20","1,131.30",27.9,2.47
Power Finance,414.40,403.10,413.75,403.85,9.9,2.45
RamkrishnaForge,588.65,551.75,579.60,565.75,13.85,2.45
Mankind Pharma,"2,635.00","2,555.00","2,628.90","2,566.30",62.6,2.44
Grasim,"2,792.30","2,720.80","2,787.80","2,722.20",65.6,2.41
RBL Bank,265.90,256.40,265.35,259.10,6.25,2.41
HFCL,75.29,73.26,75.01,73.26,1.75,2.39
Cyient,"1,216.40","1,181.30","1,210.00","1,181.90",28.1,2.38
TCS,"3,079.40","2,991.60","3,074.40","3,003.00",71.4,2.38
COFORGE LTD.,"1,749.50","1,690.00","1,746.50","1,706.30",40.2,2.36
Godfrey Phillip,"9,150.00","8,722.50","8,983.50","8,777.00",206.5,2.35
Rattanindia Ent,55.26,53.02,54.85,53.59,1.26,2.35
ITI,294.00,285.25,292.55,285.85,6.7,2.34
Sterling Wilson,276.80,266.70,275.75,269.45,6.3,2.34
Kalyan Jeweller,598.35,574.05,596.45,582.85,13.6,2.33
Piramal Enter,"1,228.90","1,200.70","1,225.00","1,197.10",27.9,2.33
Godrej Prop,"2,110.00","2,036.00","2,098.10","2,050.60",47.5,2.32
IGL,207.00,200.69,206.19,201.54,4.65,2.31
GMR Airports,91.66,88.68,91.47,89.42,2.05,2.29
Piramal Pharma,196.90,189.43,195.02,190.65,4.37,2.29
Persistent,"5,187.50","5,017.50","5,177.50","5,061.50",116,2.29
Persistent,"5,187.50","5,017.50","5,177.50","5,061.50",116,2.29
Can Fin Homes,758.00,735.75,757.20,740.35,16.85,2.28
Oracle Fin Serv,"8,590.00","8,319.50","8,569.50","8,378.50",191,2.28
Hindalco,688.80,671.80,687.70,672.45,15.25,2.27
Prestige Estate,"1,641.80","1,597.80","1,632.80","1,596.50",36.3,2.27
Angel One,"2,634.90","2,558.70","2,627.60","2,569.80",57.8,2.25
IRFC,130.08,127.31,129.74,126.89,2.85,2.25
Hindustan Aeron,"4,544.90","4,424.20","4,537.90","4,438.70",99.2,2.23
Hindustan Aeron,"4,544.90","4,424.20","4,537.90","4,438.70",99.2,2.23
Cera Sanitary,"6,600.00","6,400.00","6,577.50","6,434.00",143.5,2.23
Sai Life Sci,809.60,785.15,805.45,788.00,17.45,2.21
Bank of India,111.98,109.20,111.69,109.29,2.4,2.2
Rail Vikas,354.00,344.35,353.00,345.45,7.55,2.19
SRF,"3,074.00","2,965.10","3,050.40","2,985.20",65.2,2.18
Apar Ind,"9,074.50","8,646.00","8,965.00","8,782.50",182.5,2.08
Ircon Internati,178.72,173.74,177.96,174.34,3.62,2.08
Ircon Internati,178.72,173.74,177.96,174.34,3.62,2.08
Raymond Life,"1,208.90","1,151.30","1,195.70","1,171.40",24.3,2.07
DOMS Industries,"2,379.70","2,297.50","2,365.40","2,317.60",47.8,2.06
IRB Infra,45.41,44.05,45.24,44.33,0.91,2.05
IRB Infra,45.41,44.05,45.24,44.33,0.91,2.05
Engineers India,211.90,205.57,211.17,206.94,4.23,2.04
Aditya Birla Re,"1,944.50","1,882.50","1,935.20","1,896.90",38.3,2.02
KFin Tech,"1,128.80","1,094.30","1,123.80","1,101.50",22.3,2.02
Divis Labs,"6,513.50","6,343.00","6,489.50","6,361.50",128,2.01
DLF,796.00,774.00,792.85,777.40,15.45,1.99
NMDC Steel,37.15,36.02,36.97,36.25,0.72,1.99
PVR INOX,"1,022.50",990.00,"1,017.85",998.05,19.8,1.98
SBI Life Insura,"1,836.20","1,781.00","1,831.50","1,796.20",35.3,1.97
Newgen Software,839.85,815.20,834.10,818.15,15.95,1.95
SBFC Finance,104.33,100.67,103.32,101.34,1.98,1.95
Jyoti CNC Auto,"1,034.00","1,005.60","1,029.60","1,010.10",19.5,1.93
NMDC,72.98,70.53,71.82,70.46,1.36,1.93
Motherson SWI,38.37,37.36,38.24,37.52,0.72,1.92
Vedant Fashions,763.30,733.60,756.65,742.45,14.2,1.91
TITAGARH,861.85,842.65,852.05,836.20,15.85,1.9
Asahi India,832.95,808.60,830.20,814.80,15.4,1.89
Ashok Leyland,123.35,120.16,122.60,120.35,2.25,1.87
CenturyPlyboard,759.80,724.05,753.60,739.80,13.8,1.87
