company_name,high,low,last_price,prev_close,change,percent_gain
Torrent Power,"1,316.60","1,277.00","1,312.10","1,288.20",23.9,1.86
Anand Rathi,"2,678.90","2,596.10","2,649.30","2,601.10",48.2,1.85
Voltas,"1,346.00","1,308.00","1,341.80","1,317.40",24.4,1.85
CG Consumer,327.60,319.65,327.10,321.20,5.9,1.84
LT Foods,487.70,473.15,485.75,477.00,8.75,1.83
Astral Ltd,"1,432.00","1,393.90","1,428.50","1,403.10",25.4,1.81
Adani Total Gas,607.15,594.05,606.10,595.40,10.7,1.8
RHI Magnesita,535.00,505.55,523.20,513.95,9.25,1.8
Bosch,"41,280.00","40,035.00","41,115.00","40,390.00",725,1.79
Bajaj Auto,"8,205.00","8,044.50","8,187.50","8,044.50",143,1.78
Indegene,589.00,575.15,587.55,577.30,10.25,1.78
Navin Fluorine,"5,133.00","4,975.00","5,100.50","5,011.50",89,1.78
Adani Green Ene,997.00,971.65,989.80,972.60,17.2,1.77
Bank of Mah,55.35,54.10,55.23,54.27,0.96,1.77
Tata Chemicals,975.65,954.80,973.40,956.50,16.9,1.77
Canara Bank,107.94,106.00,107.75,105.89,1.86,1.76
Canara Bank,107.94,106.00,107.75,105.89,1.86,1.76
KEI Industries,"3,900.00","3,765.30","3,883.30","3,816.30",67,1.76
Ramco Cements,"1,182.80","1,145.90","1,171.40","1,151.10",20.3,1.76
Havells India,"1,511.80","1,472.20","1,508.60","1,482.60",26,1.75
Swiggy,403.15,381.75,399.20,392.35,6.85,1.75
ICICI Prudentia,612.85,600.35,611.50,601.05,10.45,1.74
UNO Minda,"1,066.20","1,040.10","1,062.10","1,043.90",18.2,1.74
Shriram Finance,626.80,615.90,624.90,614.20,10.7,1.74
Shriram Finance,626.80,615.90,624.90,614.20,10.7,1.74
Latent View,411.00,397.00,408.60,401.65,6.95,1.73
AAVAS Financier,"1,718.00","1,657.40","1,708.10","1,679.20",28.9,1.72
Garden Reach Sh,"2,658.00","2,566.10","2,624.60","2,580.70",43.9,1.7
Marico,733.90,707.10,723.30,711.20,12.1,1.7
HBL Eng,613.75,600.90,610.00,599.85,10.15,1.69
CG Power ,664.90,646.00,662.25,651.30,10.95,1.68
Eicher Motors,"5,670.00","5,520.00","5,621.00","5,528.00",93,1.68
Mazagon Dock,"2,787.90","2,697.20","2,767.20","2,721.80",45.4,1.67
Mazagon Dock,"2,787.90","2,697.20","2,767.20","2,721.80",45.4,1.67
Elecon Eng,576.00,558.40,572.95,563.65,9.3,1.65
Elecon Eng,576.00,558.40,572.95,563.65,9.3,1.65
Vedanta,433.35,422.20,431.45,424.45,7,1.65
Whirlpool,"1,343.90","1,311.00","1,337.00","1,315.60",21.4,1.63
Indian Renew,148.49,145.86,148.03,145.69,2.34,1.61
Bharti Airtel,"1,919.90","1,878.50","1,914.60","1,884.40",30.2,1.6
Jupiter Wagons,345.00,334.50,341.40,336.10,5.3,1.58
Yes Bank,19.07,18.33,18.89,18.60,0.29,1.56
HCL Tech,"1,475.40","1,440.60","1,474.40","1,452.10",22.3,1.54
IGIL,382.15,366.00,377.80,372.10,5.7,1.53
J. K. Cement,"6,815.00","6,621.00","6,784.00","6,681.50",102.5,1.53
ICICI Lombard ,"1,900.50","1,858.00","1,895.60","1,867.30",28.3,1.52
AU Small Financ,755.85,740.00,752.25,741.05,11.2,1.51
Phoenix Mills,"1,481.90","1,441.00","1,474.20","1,452.20",22,1.51
Karur Vysya,264.75,259.15,263.60,259.70,3.9,1.5
Devyani Int,164.39,161.82,163.88,161.47,2.41,1.49
Hind Zinc,422.50,413.85,421.60,415.40,6.2,1.49
IRCTC,732.20,712.70,729.90,719.20,10.7,1.49
CRISIL,"5,333.00","5,178.50","5,292.50","5,216.00",76.5,1.47
City Union Bank,217.59,212.52,216.98,213.87,3.11,1.45
Firstsource Sol,345.80,331.00,343.90,339.00,4.9,1.45
Rashtriya Chem,150.60,147.52,150.15,148.01,2.14,1.45
Alok Industries,19.10,18.45,18.97,18.70,0.27,1.44
Bharat Dynamics,"1,591.70","1,556.60","1,587.70","1,565.20",22.5,1.44
Bharat Dynamics,"1,591.70","1,556.60","1,587.70","1,565.20",22.5,1.44
IEX,134.45,130.65,133.98,132.09,1.89,1.43
LT Finance,204.48,199.23,204.02,201.14,2.88,1.43
LTIMindtree,"5,102.50","4,939.50","5,089.00","5,017.50",71.5,1.43
PNB,104.95,103.00,104.66,103.18,1.48,1.43
Container Corp,583.25,571.00,581.75,573.60,8.15,1.42
Laurus Labs,864.90,840.05,861.20,849.35,11.85,1.4
PG Electroplast,797.60,772.35,789.30,778.65,10.65,1.37
PG Electroplast,797.60,772.35,789.30,778.65,10.65,1.37
Atul,"6,600.00","6,470.00","6,579.50","6,491.50",88,1.36
Sagility India,45.88,44.02,45.57,44.96,0.61,1.36
Wipro,246.42,241.10,246.05,242.75,3.3,1.36
Cochin Shipyard,"1,755.80","1,709.50","1,741.90","1,718.70",23.2,1.35
Cochin Shipyard,"1,755.80","1,709.50","1,741.90","1,718.70",23.2,1.35
FSN E-Co Nykaa,214.17,208.41,212.90,210.06,2.84,1.35
Authum Invest,"2,830.00","2,726.10","2,793.20","2,756.30",36.9,1.34
Jio Financial,335.50,328.60,333.90,329.50,4.4,1.34
Trent,"5,289.00","5,162.50","5,249.00","5,180.00",69,1.33
IDBI Bank,91.62,90.00,91.38,90.19,1.19,1.32
Kirloskar Oil,888.90,863.00,883.85,872.30,11.55,1.32
UTI AMC,"1,329.10","1,296.60","1,314.10","1,297.00",17.1,1.32
United Spirits,"1,342.60","1,314.00","1,339.70","1,322.40",17.3,1.31
Balrampur Chini,572.80,559.15,570.45,563.15,7.3,1.3
M&M,"3,223.00","3,160.00","3,200.20","3,159.30",40.9,1.29
Reliance,"1,416.10","1,391.70","1,411.50","1,393.70",17.8,1.28
Triveni Engg,346.90,336.50,345.15,340.80,4.35,1.28
Oberoi Realty,"1,614.40","1,581.50","1,609.60","1,589.40",20.2,1.27
BLS Internation,385.30,373.65,384.40,379.65,4.75,1.25
HDFC AMC,"5,725.00","5,602.50","5,685.00","5,615.00",70,1.25
Minda Corp,499.00,484.85,496.35,490.20,6.15,1.25
REC,394.95,387.70,393.55,388.70,4.85,1.25
Sona BLW,446.20,432.40,443.00,437.55,5.45,1.25
Larsen,"3,636.80","3,577.00","3,631.10","3,587.30",43.8,1.22
Titan Company,"3,365.00","3,308.10","3,356.30","3,316.00",40.3,1.22
HINDPETRO,409.55,399.70,408.65,403.80,4.85,1.2
Abbott India,"34,220.00","33,235.00","33,995.00","33,595.00",400,1.19
UltraTechCement,"12,290.00","12,132.00","12,257.00","12,113.00",144,1.19
LIC India,897.50,878.00,895.30,884.85,10.45,1.18
C. E. Info Syst,"1,789.40","1,744.20","1,778.20","1,757.80",20.4,1.16
Nippon,818.60,795.95,813.05,803.80,9.25,1.15
Amber Enterpris,"8,048.50","7,825.00","7,960.00","7,871.00",89,1.13
KEC Intl,837.00,814.00,833.25,823.90,9.35,1.13
SUMITOMO,665.00,627.80,637.80,630.65,7.15,1.13
Bajaj Finance,886.75,873.70,885.30,875.60,9.7,1.11
Five-Star Busin,609.90,595.15,604.90,598.25,6.65,1.11
Techno Electric,"1,455.20","1,408.00","1,434.80","1,419.00",15.8,1.11
Bajaj Housing,114.49,112.91,114.14,112.91,1.23,1.09
Zensar Tech,804.80,775.20,800.65,792.20,8.45,1.07
Jubilant Food,656.50,641.95,648.80,641.95,6.85,1.07
Zydus Life,962.00,946.55,958.85,949.05,9.8,1.03
Caplin Labs,"2,014.00","1,979.90","2,008.60","1,988.10",20.5,1.03
Indian Hotels,752.70,735.15,748.80,741.15,7.65,1.03
Inox Wind,154.00,151.03,153.31,151.76,1.55,1.02
Dalmia Bharat,"2,233.90","2,191.70","2,226.80","2,204.40",22.4,1.02
Supreme Ind,"4,302.70","4,195.20","4,291.00","4,249.10",41.9,0.99
Aurobindo Pharm,"1,101.40","1,076.00","1,090.40","1,079.80",10.6,0.98
Redington,255.90,239.00,251.90,249.45,2.45,0.98
IOC,142.90,139.72,142.38,141.03,1.35,0.96
Tejas Networks,584.20,570.15,580.85,575.55,5.3,0.92
Dixon Technolog,"17,129.00","16,820.00","17,002.00","16,848.00",154,0.91
Elgi Equipments,568.00,553.30,563.20,558.10,5.1,0.91
Bajaj Finserv,"1,944.40","1,923.00","1,933.60","1,916.30",17.3,0.9
Bajaj Finserv,"1,944.40","1,923.00","1,933.60","1,916.30",17.3,0.9
Premier Energie,"1,027.00","1,008.10","1,019.30","1,010.30",9,0.89
GNFC,545.00,533.45,539.75,535.05,4.7,0.88
KPIT Tech,"1,220.00","1,195.10","1,217.00","1,206.50",10.5,0.87
Alembic Pharma,974.00,937.70,967.20,959.05,8.15,0.85
Chalet Hotels,937.00,890.10,897.75,890.35,7.4,0.83
Adani Energy,803.20,793.05,799.55,793.05,6.5,0.82
Cipla,"1,519.30","1,505.00","1,515.10","1,502.80",12.3,0.82
Gravita India,"1,826.20","1,767.00","1,804.80","1,790.30",14.5,0.81
Sun TV Network,569.00,558.10,565.50,560.95,4.55,0.81
JK Bank,103.50,101.46,102.73,101.91,0.82,0.8
Lupin,"1,899.00","1,857.10","1,882.20","1,867.30",14.9,0.8
SJVN,93.35,91.62,93.09,92.35,0.74,0.8
Bharti Hexacom,"1,870.00","1,805.00","1,859.00","1,844.60",14.4,0.78
Asian Paints,"2,467.00","2,439.60","2,449.80","2,431.00",18.8,0.77
Birlasoft,405.00,392.50,403.95,400.85,3.1,0.77
United Brewerie,"1,945.00","1,904.20","1,939.40","1,924.90",14.5,0.75
Infosys,"1,482.80","1,451.00","1,480.50","1,469.60",10.9,0.74
Ola Electric,41.93,40.37,40.85,40.55,0.3,0.74
Sun Pharma,"1,647.40","1,613.60","1,641.60","1,629.70",11.9,0.73
Tata Motors,656.80,646.00,653.60,648.85,4.75,0.73
Tata Motors,656.80,646.00,653.60,648.85,4.75,0.73
Union Bank,129.43,127.14,129.04,128.10,0.94,0.73
AstraZeneca,"8,983.50","8,865.00","8,957.50","8,893.50",64,0.72
IOB,37.20,36.65,37.04,36.81,0.23,0.62
Max Financial,"1,489.00","1,451.10","1,481.60","1,472.50",9.1,0.62
Sammaan Capital,127.15,122.41,126.53,125.76,0.77,0.61
Niva Bupa Healt,82.29,81.09,82.00,81.51,0.49,0.6
Coal India,378.75,370.20,374.70,372.50,2.2,0.59
Axis Bank,"1,070.00","1,059.00","1,068.60","1,062.40",6.2,0.58
Berger Paints,573.80,563.80,570.00,566.90,3.1,0.55
Olectra Greente,"1,469.80","1,413.20","1,451.20","1,443.30",7.9,0.55
Motilal Oswal,930.85,913.60,926.80,921.70,5.1,0.55
Adani Enterpris,"2,374.70","2,338.20","2,363.60","2,350.90",12.7,0.54
NTPC Green Ener,105.50,104.32,105.09,104.53,0.56,0.54
Castrol,220.60,217.11,219.56,218.41,1.15,0.53
Kajaria Ceramic,"1,193.80","1,152.00","1,189.80","1,183.50",6.3,0.53
Maruti Suzuki,"12,425.00","12,225.00","12,365.00","12,302.00",63,0.51
Neuland Lab,"13,190.00","12,624.00","13,083.00","13,017.00",66,0.51
Ceat,"3,258.90","3,131.20","3,245.80","3,229.70",16.1,0.5
Granules India,460.45,447.05,454.00,451.75,2.25,0.5
Tata Comm,"1,683.30","1,622.90","1,675.40","1,667.20",8.2,0.49
Godrej Ind,"1,124.70","1,110.50","1,120.20","1,114.80",5.4,0.48
Gujarat Fluoro,"3,542.10","3,451.00","3,512.20","3,495.50",16.7,0.48
Petronet LNG,284.00,278.50,282.10,280.75,1.35,0.48
Just Dial,835.85,819.00,831.20,827.60,3.6,0.43
Triveni Turbine,596.90,583.85,590.35,587.85,2.5,0.43
Vishal Mega Mar,142.40,139.60,141.68,141.07,0.61,0.43
Mah Seamless,678.40,664.10,674.20,671.35,2.85,0.42
JSW Infra,308.90,303.35,305.30,304.05,1.25,0.41
Shipping Corp,212.80,209.00,211.45,210.60,0.85,0.4
Amara Raja,962.05,950.15,957.60,953.90,3.7,0.39
JBM Auto,632.65,618.00,628.45,626.00,2.45,0.39
Natco Pharma,939.85,917.65,934.65,931.05,3.6,0.39
Hyundai Motor,"2,199.40","2,148.00","2,189.20","2,181.00",8.2,0.38
Bajaj Holdings,"14,250.00","13,641.00","13,899.00","13,848.00",51,0.37
Dr Reddys Labs,"1,232.20","1,219.20","1,225.00","1,220.60",4.4,0.36
Dr Reddys Labs,"1,232.20","1,219.20","1,225.00","1,220.60",4.4,0.36
Max Healthcare,"1,256.00","1,235.30","1,250.40","1,246.00",4.4,0.35
Linde India,"6,645.00","6,534.50","6,597.50","6,575.00",22.5,0.34
Glenmark,"2,098.00","2,056.40","2,074.90","2,067.80",7.1,0.34
JK Tyre Ind,332.95,327.55,330.50,329.40,1.1,0.33
NTPC,333.30,327.20,332.00,330.90,1.1,0.33
Shree Renuka,30.19,29.60,30.03,29.93,0.1,0.33
KPIL,"1,135.90","1,101.20","1,124.80","1,121.20",3.6,0.32
EIH,383.95,370.50,377.50,376.35,1.15,0.31
Fert and Chem,948.00,926.70,936.30,933.40,2.9,0.31
Fortis Health,865.00,850.00,861.90,859.25,2.65,0.31
NHPC,83.75,82.44,83.49,83.24,0.25,0.3
Vijaya Diagnost,"1,099.00","1,067.50","1,086.50","1,083.30",3.2,0.3
Brigade Ent,996.00,969.60,985.30,982.70,2.6,0.26
Kotak Mahindra,"2,007.00","1,982.10","1,997.00","1,992.40",4.6,0.23
Gland,"1,999.40","1,950.50","1,982.80","1,978.50",4.3,0.22
Info Edge,"1,377.40","1,359.00","1,370.90","1,367.90",3,0.22
SBI,797.20,786.55,795.70,794.00,1.7,0.21
Syngene Intl,707.80,691.00,704.75,703.25,1.5,0.21
TATA Cons. Prod,"1,075.60","1,060.00","1,072.60","1,070.40",2.2,0.21
INDUS TOWERS,348.15,339.25,345.80,345.10,0.7,0.2
DCM Shriram,"1,391.80","1,362.30","1,377.00","1,374.30",2.7,0.2
Federal Bank,197.04,185.11,196.46,196.06,0.4,0.2
Central Bank,36.09,35.72,36.00,35.93,0.07,0.19
Jyothy Labs,334.10,327.40,332.95,332.35,0.6,0.18
One 97 Paytm,"1,091.00","1,075.40","1,078.20","1,076.40",1.8,0.17
Eternal,307.00,300.45,305.25,304.75,0.5,0.16
Apollo Tyres,444.80,437.05,441.45,440.85,0.6,0.14
Metropolis,"2,061.50","2,000.30","2,040.60","2,037.70",2.9,0.14
PNC Infratech,321.20,311.50,316.65,316.20,0.45,0.14
GE Shipping,937.10,921.75,930.50,929.25,1.25,0.13
Aadhar Housing ,505.00,494.70,500.10,499.50,0.6,0.12
Balkrishna Ind,"2,608.80","2,551.00","2,579.00","2,575.80",3.2,0.12
PCBL Chemical,402.00,394.30,400.95,400.50,0.45,0.11
ITC,422.50,415.10,416.85,416.45,0.4,0.1
GAIL,175.37,172.50,174.54,174.39,0.15,0.09
Alkem Lab,"4,920.50","4,825.50","4,902.50","4,899.00",3.5,0.07
SBI Card,814.00,801.50,804.50,803.95,0.55,0.07
PTC Industries,"14,869.00","14,600.00","14,808.00","14,801.00",7,0.05
Valor Estate,182.99,177.26,180.48,180.40,0.08,0.04
Nestle,"2,286.60","2,258.00","2,277.40","2,276.50",0.9,0.04
Nestle,"2,286.60","2,258.00","2,277.40","2,276.50",0.9,0.04
Avenue Supermar,"4,225.20","4,139.10","4,197.20","4,196.00",1.2,0.03
Tata Tech,696.00,685.10,694.00,693.90,0.1,0.01
